rate_est,rate_true,beta_g_est,beta_g_true,noise,trials
0.36204991311088147,-0.5,0.31141768120997687,-1,0,1200
0.4080447154905427,-0.5,0.6776057461363404,-0.5,0,12
0.3082542934042944,-0.5,0.5293234470544561,-0.5,0,120
0.3720909850710776,-0.5,0.42442388467202147,-0.5,0,1200
0.43538649739320706,-0.5,0.4068508581098245,0,0,12
0.42960061261597526,-0.5,0.45938974716062886,0,0,120
0.3655074297599726,-0.5,0.5206981476594387,0,0,1200
0.3807162464503822,-0.5,0.49865188973994906,0.5,0,12
0.45177336759430387,-0.5,0.43371376840962605,0.5,0,120
0.3698081734990912,-0.5,0.6525898916582697,0.5,0,1200
0.5069479432287508,-0.5,0.5022084792181822,1,0,12
0.38697478291689175,-0.5,0.6386568992307003,1,0,120
0.3923481987012075,-0.5,0.7583716756091536,1,0,1200
0.5052339427817357,-0.5,0.7223306884887137,5,0,12
0.41472312157916796,-0.5,0.9132223196085107,5,0,120
0.36885220135754837,-0.5,0.9795949345952555,5,0,1200
0.29988427501094583,-0.5,0.7418431699174677,10,0,12
0.3655348520002502,-0.5,0.929798260302426,10,0,120
0.3763250282652044,-0.5,0.9868289779250559,10,0,1200
0.4324891820752387,0,0.3924026259017127,-10,0,12
0.5141349142497038,0,0.09375136542539589,-10,0,120
0.5090442607368125,0,0.013276969136397554,-10,0,1200
0.664651003259691,0,0.28822047443792764,-5,0,12
0.5501086892902847,0,0.06283712857183507,-5,0,120
0.5029722376178758,0,0.01412004646118818,-5,0,1200
0.4384584343597485,0,0.35568787751581527,-1,0,12
0.5180658765078028,0,0.2531362022865052,-1,0,120
0.4847104020514424,0,0.26228038394511105,-1,0,1200
0.5639614342166884,0,0.4765333788115205,-0.5,0,12
0.479587041366996,0,0.4795557586327973,-0.5,0,120
0.483383964763223,0,0.3440503516366946,-0.5,0,1200
0.6902527550531842,0,0.3794378853966845,0,0,12
0.5394812897819437,0,0.49355366751506835,0,0,120
0.5126185991378186,0,0.5388523981041395,0,0,1200
0.49736385237891895,0,0.49959790342046817,0.5,0,12
0.5384551366547644,0,0.5596723951628126,0.5,0,120
0.49140526683619007,0,0.6416968587207417,0.5,0,1200
0.37347196198965316,0,0.5271849899308985,1,0,12
0.5275268563598112,0,0.7694839445244852,1,0,120
0.49670136212612326,0,0.741373532243625,1,0,1200
0.44157163402807836,0,0.6437638035155631,5,0,12
0.5145415525340628,0,0.9260330787746992,5,0,120
0.4739569415017732,0,0.9841122442869111,5,0,1200
0.5031453058497731,0,0.58777850342353255,10,0,12
0.4660115809500108,0,0.9355306065231824,10,0,120
0.5074444374213876,0,0.9842162388130412,10,0,1200
0.6281516409718675,0.5,0.39935046759065324,-10,0,12
0.5454309207170285,0.5,0.10900385038206663,-10,0,120
0.6072310728312509,0.5,0.013722515195316965,-10,0,1200
0.4986925580901363,0.5,0.4160261548731815,-5,0,12
0.596460228386008,0.5,0.10175296398579531,-5,0,120
0.6125971680586989,0.5,0.022371843140080172,-5,0,1200
0.6762457188417852,0.5,0.44398157353788387,-1,0,12
